Date,dosis_pertama,dosis_kedua,dosis_ketiga,dosis_satu_nakes,dosis_dua_nakes,dosis_tiga_nakes,dosis_satu_petugas_publik,dosis_dua_petugas_publik,dosis_satu_lansia,dosis_dua_lansia,dosis_satu_umum,dosis_dua_umum,dosis_satu_remaja,dosis_dua_remaja
2021-04-30,12422253,7646284,0,1492208,1353880,0,8383743,4781158,2545562,1511246,0,0,0,0
2021-05-01,12457164,7678485,0,1492380,1354040,0,8415096,4808166,2548948,1516279,0,0,0,0
2021-05-02,12469406,7703110,0,1492468,1354159,0,8426025,4829246,2550173,1519705,0,0,0,0
2021-05-03,12572111,7850407,0,1493588,1355942,0,8503507,4935457,2574276,1559008,0,0,0,0
2021-05-04,12699568,8002236,0,1494938,1357804,0,8603702,5051854,2600188,1592578,0,0,0,0
2021-05-05,12851885,8166067,0,1496358,1359726,0,8723790,5173811,2630996,1632325,0,0,0,0
2021-05-06,13028699,8339055,0,1497644,1361567,0,8865706,5302459,2664608,1674461,0,0,0,0
2021-05-07,13180814,8486054,0,1498947,1363159,0,8989745,5413948,2691305,1708253,0,0,0,0
2021-05-08,13321503,8612158,0,1499656,1364428,0,9096369,5504931,2724661,1742105,0,0,0,0
2021-05-09,13349469,8643830,0,1499726,1364582,0,9121975,5530248,2726951,1748306,0,0,0,0
2021-05-10,13513606,8804961,0,1501027,1366419,0,9251201,5643009,2760561,1794839,0,0,0,0
2021-05-11,13647777,8888529,0,1501809,1367719,0,9361491,5708101,2783660,1812015,0,0,0,0
2021-05-12,13691877,8918784,0,1502009,1368070,0,9401248,5732660,2787803,1817360,0,0,0,0
2021-05-13,13697256,8919949,0,1502025,1368079,0,9406282,5733632,2788132,1817544,0,0,0,0
2021-05-14,13700389,8921978,0,1502037,1368098,0,9409090,5735275,2788445,1817911,0,0,0,0
2021-05-15,13725144,8960076,0,1502212,1368299,0,9430549,5761421,2791566,1829662,0,0,0,0
2021-05-16,13745160,8975937,0,1502228,1368337,0,9449637,5774108,2792478,1832798,0,0,0,0
2021-05-17,13828102,9093965,0,1503025,1369938,0,9517264,5859097,2806995,1864236,0,0,0,0
2021-05-18,13985952,9276187,0,1504324,1372017,0,9639092,5997003,2841581,1906473,0,0,0,0
2021-05-19,14197224,9428223,0,1505817,1373813,0,9800124,6109914,2888392,1943802,0,0,0,0
2021-05-20,14452878,9580546,0,1507098,1375400,0,9996350,6224200,2944133,1980252,0,0,0,0
2021-05-21,14685236,9746522,0,1508652,1377170,0,10179623,6361674,2987906,2006984,0,0,0,0
2021-05-22,14869827,9853451,0,1509523,1378053,0,10317952,6445395,3030396,2029296,0,0,0,0
2021-05-23,14909734,9881024,0,1509602,1378175,0,10350996,6470711,3035376,2031431,0,0,0,0
2021-05-24,14919592,9906629,0,1509688,1378328,0,10358645,6490766,3037155,2036828,0,0,0,0
2021-05-25,15330306,10125480,0,1511907,1380437,0,10683409,6660547,3116601,2083789,0,0,0,0
2021-05-26,15546158,10236019,0,1513180,1381582,0,10856588,6754218,3154384,2099512,0,0,0,0
2021-05-27,15851702,10428151,0,1514296,1383548,0,11096646,6899324,3218838,2144572,0,0,0,0
2021-05-28,16089473,10521440,0,1516031,1384767,0,11291975,6961338,3251706,2165628,0,0,0,0
2021-05-29,16288762,10571387,0,1516876,1385402,0,11446457,7008311,3293415,2176967,0,0,0,0
2021-05-30,16304700,10584489,0,1516911,1385433,0,11460859,7020718,3294841,2177631,0,0,0,0
2021-05-31,16558536,10697852,0,1518202,1386778,0,11663306,7111644,3340338,2198723,0,0,0,0
2021-06-01,16605261,10721078,0,1518383,1386931,0,11704499,7132916,3345008,2200524,0,0,0,0
2021-06-02,16850189,10877109,0,1519593,1388681,0,11899323,7255044,3390271,2232677,0,0,0,0
2021-06-03,17148821,11003152,0,1520919,1390115,0,12141282,7349911,3441880,2262419,0,0,0,0
2021-06-04,17416321,11070389,0,1521660,1390990,0,12372171,7400836,3472441,2277856,0,0,0,0
2021-06-05,17617095,11124356,0,1522144,1391498,0,12546742,7435819,3497790,2296332,0,0,0,0
2021-06-06,17662226,11127764,0,1522237,1391567,0,12588914,7438788,3500491,2296702,0,0,0,0
2021-06-07,17812458,11231321,0,1523336,1392873,0,12693203,7517751,3536666,2319990,0,0,0,0
2021-06-08,18470759,11398871,0,1525261,1394443,0,13242581,7664223,3637967,2357355,0,0,0,0
2021-06-09,18934997,11455920,0,1526586,1395252,0,13623087,7685406,3716307,2369250,0,0,0,0
2021-06-10,19440524,11503947,0,1527967,1395852,0,14042656,7721934,3797367,2377597,0,0,0,0
2021-06-11,19834929,11534345,0,1529037,1396410,0,14390190,7745521,3839978,2382111,0,0,0,0
2021-06-12,20157174,11567459,0,1529719,1396794,0,14659974,7769404,3888332,2388526,0,0,0,0
2021-06-13,20158937,11568443,0,1529737,1396801,0,14660882,7770026,3889165,2388715,0,0,0,0
2021-06-14,20667572,11637090,0,1530796,1397698,0,15103687,7821054,3951776,2401793,0,0,0,0
2021-06-15,20904723,11699021,0,1531421,1398335,0,15299910,7867826,3990171,2415398,0,0,0,0
2021-06-16,21708446,11859890,0,1533279,1400082,0,15989147,7989034,4096794,2450278,0,0,0,0
2021-06-17,22236189,12022624,0,1534628,1401455,0,16444360,8110328,4165108,2487321,0,0,0,0
2021-06-18,22656788,12139826,0,1535934,1402765,0,16819216,8199142,4205418,2510923,0,0,0,0
2021-06-19,22992560,12232701,0,1536666,1403642,0,17113499,8262755,4240858,2535804,0,0,0,0
2021-06-20,23071123,12242103,0,1536787,1403762,0,17185612,8269260,4245276,2537390,0,0,0,0
2021-06-21,23530219,12398428,0,1537962,1403762,0,17587982,8391162,4297454,2566748,0,0,0,0
2021-06-22,23998166,12583389,0,1539429,1407070,0,18017043,8537350,4330129,2601206,0,0,0,0
2021-06-23,24664995,12672597,0,1540826,1408028,0,18590105,8610802,4416377,2613878,0,0,0,0
2021-06-24,25237997,12838745,0,1542570,1409618,0,19100982,8741247,4471788,2645594,0,0,0,0
2021-06-25,25735376,12956968,0,1543804,1411033,0,19555505,8835815,4508011,2665030,0,0,0,0
2021-06-26,26325854,13069678,0,1545890,1411913,0,20085499,8923261,4560867,2684960,0,0,0,0
2021-06-27,27200222,13115761,0,1546838,1412247,0,20915791,8961524,4599221,2689233,0,0,0,0
2021-06-28,27789896,13257752,0,1548445,1413333,0,21454479,9076828,4645870,2713547,0,0,0,0
2021-06-29,28671106,13369395,0,1550857,1414278,0,22271518,9167141,4700742,2731252,0,0,0,0
2021-06-30,29556053,13528655,0,1553404,1415575,0,23106592,9295754,4742866,2758477,0,0,0,0
2021-07-01,30483730,13677230,0,1555239,1416640,0,23988332,9408273,4781933,2789252,0,0,0,0
2021-07-02,31090765,13830517,0,1557537,1417984,0,24549745,9532855,4820119,2813570,0,0,0,0
2021-07-03,31961064,13970538,0,1559217,1419076,0,16210830,8198270,4853665,2840090,0,0,0,0
2021-07-04,32063745,13979564,0,1559449,1419256,0,16300094,8203209,4857328,2841086,0,0,0,0
2021-07-05,32460653,14095900,0,1561015,1420222,0,16635605,8271687,4879621,2859653,0,0,0,0
2021-07-06,33488253,14357113,0,1563961,1422072,0,17486649,8418554,4933616,2905561,0,0,0,0
2021-07-07,34249444,14516938,0,1566025,1423518,0,18088432,8511174,4963358,2933529,0,0,0,0
2021-07-08,34959051,14659369,0,1567779,1424618,0,18431951,8588291,4988881,2957938,0,0,0,0
2021-07-09,36059414,14949729,0,1570676,1427234,0,19320067,8736421,5040098,3012974,0,0,0,0
2021-07-10,36217975,14983549,0,1571146,1427616,0,19442694,8753890,5046631,3016831,0,0,0,0
2021-07-11,36278606,15016402,0,1571536,1427885,0,19476225,8770942,5050408,3020278,0,0,0,0
2021-07-12,36395019,15038548,0,1571983,1428202,0,19564690,8781959,5055120,3023237,9858246,1724160,124109,11
2021-07-13,37031826,15254221,0,1575406,1430768,0,20272420,8939093,5101997,3069958,9993004,1814388,148999,14
2021-07-14,39278153,15685534,0,1579142,1433358,0,21798731,9161254,5157397,3140897,10465597,1950007,277286,18
2021-07-15,39943004,15876777,0,1580740,1434660,0,22083708,9257115,5179165,3170849,10768296,2014132,331095,21
2021-07-16,40912440,16098999,0,1583086,1436730,0,22593984,9369109,5205397,3200390,11126129,2092742,403844,28
2021-07-17,41268627,16217855,0,1584016,1437497,0,22796359,9424090,5218972,3217057,11248008,2139182,421272,29
2021-07-18,41778063,16283343,0,1585054,1438119,0,23121812,9452284,5231538,3222426,11397049,2170484,442610,30
2021-07-19,42313731,16444462,0,1586172,1439234,0,23926544,9801630,4704081,2965880,11607051,2237687,489883,31
2021-07-20,42360779,16453805,0,1586284,1439379,0,23961106,9806443,4705372,2966695,11617199,2241255,490818,33
2021-07-21,42868023,16713406,0,1587505,1440945,0,24152339,9918835,4720533,2987829,11867628,2365760,540018,37
2021-07-22,43471431,17012830,0,1589017,1442591,0,24343552,10042329,4738428,3010077,12198820,2517792,601614,41
2021-07-23,43932287,17253709,0,1590045,1444040,0,24566538,10133736,4751432,3022965,12384222,2652922,640050,46
2021-07-24,44342198,17798139,0,1590978,1446036,0,24719103,10337946,4761954,3044618,12582121,2969483,688042,56
2021-07-25,44551337,17933565,0,1591365,1446523,0,24830125,10391265,4766906,3051222,12656697,3044492,706244,63
2021-07-26,45012649,18367098,0,1592432,1448425,0,24987216,10546910,4780438,3073295,12905752,3298402,746811,66
2021-07-27,45534183,18857251,0,1593641,1450462,0,25186096,10717181,4795761,3097519,13158469,3591974,800216,115
2021-07-28,46053004,19354329,0,1594828,1452585,0,25356284,10883436,4810970,3120010,13439531,3898061,851391,237
2021-07-29,46567370,19867271,0,1596183,1454760,0,25531164,11156416,4826749,3144774,13715442,4110268,897832,1053
2021-07-30,47014920,20302847,0,1597420,1456868,0,25738196,11415676,4838225,3162088,13904094,4263712,936955,4503
2021-07-31,47390494,20621294,0,1598200,1458319,0,25935671,11640157,4848613,3178242,14050559,4337201,957451,7375
2021-08-01,47562344,20707102,0,1598537,1458707,0,26026898,11695815,4852390,3180403,14120067,4363048,964452,9129
2021-08-02,47847179,21071096,0,1599240,1460489,0,26200688,11935647,4861985,3199592,14209830,4461848,975256,13520
2021-08-03,48148817,21496995,0,1600274,1462171,0,26381701,12199820,4871507,3218316,14299135,4594135,996200,22553
2021-08-04,48494768,21976626,0,1601161,1464056,0,25155748,12412861,4882081,3236940,14525169,4733074,2330609,129695
2021-08-05,48856419,22283984,0,1602289,1465859,0,25277912,12582329,4890614,3247861,14732697,4826576,2352907,161359
2021-08-06,49542688,23082021,0,1604269,1469818,0,25645135,13087390,4909924,3283269,15012773,4987362,2370587,254182
2021-08-07,49964745,23528130,0,1595639,1462914,0,25901868,13404293,4923635,3302094,15180832,5074656,2362771,284173
2021-08-08,50630315,24212024,0,1601928,1471591,0,26431320,13971272,4940480,3314757,15351578,5147711,2305009,306693
2021-08-09,50837608,24615964,0,1603012,1473500,0,26485211,14217351,4950257,3338199,15486100,5231190,2313028,355724
2021-08-10,51443042,25249992,0,1605104,1477058,0,26637536,14582752,4967521,3362468,15898712,5384948,2334169,442766
2021-08-11,51795171,25502849,0,1605836,1478463,0,26718653,14716883,4974734,3372273,16154281,5459765,2341667,475465
2021-08-12,52027456,26144162,0,1607824,1481324,0,26759728,15054515,4987862,3402777,16322823,5660410,2349219,545136
2021-08-13,52741571,27055840,0,1609398,1485554,0,26893964,15511202,5005427,3434272,16864413,5962101,2368369,662711
2021-08-14,53365941,27899974,0,1611081,1489303,0,26905129,15924767,5022660,3464531,17444749,6248463,2382322,772910
2021-08-15,53688122,28112285,0,1612024,1490394,0,26927142,16030124,5027024,3470203,17736165,6325581,2385767,795983
2021-08-16,54028976,28609254,0,1614606,1492997,0,26958719,16284905,5038179,3492764,18024343,6487403,2393129,851185
2021-08-17,54446247,28853053,0,1616049,1494565,0,26988708,16391434,5044492,3499461,18397908,6579046,2399090,888547
2021-08-18,54992421,29527386,297422,1619070,1498060,297422,27270521,16710847,5063765,3529094,18626801,6811282,2412264,978103
2021-08-19,55637234,30230233,329507,1622338,1501857,329507,27797880,17010203,5083907,3558550,18705853,7087922,2427256,1071701
2021-08-20,55995182,30585478,365335,1624226,1504136,365335,28099157,17181096,5093126,3569648,18745307,7217073,2433366,1113525
2021-08-21,57282879,31566685,423627,1627357,1507894,423627,28575239,17447408,5113316,3592892,18828996,7457230,2448422,1199536
2021-08-22,57338901,31601400,424625,1627523,1508089,424625,28604774,17456088,5114412,3593533,18833376,7460927,2449355,1200856
2021-08-23,58014403,32239869,451439,1630171,1511295,451439,29139283,17704985,5133555,3614799,18924510,7723544,2465779,1292357
